time,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/1/2010,7.1,5,11,16.5,,279,11.4,
1/2/2010,8.7,3,15,0.3,,,4.6,
1/3/2010,10.3,6,17,0,,,3.5,
1/4/2010,12.1,9,17,0,,,5.5,
1/5/2010,12,9,16,0,,,13.4,
1/6/2010,8.2,7,14,0,,,16.2,
1/7/2010,6.1,3,10,0,,,6.8,
1/8/2010,6.5,3,12,0,,,4.2,
1/9/2010,7.2,4,12,0,,,9.4,
1/10/2010,6,3,11,0,,,4.5,
1/11/2010,6.2,3,11,0,,,3.1,
1/12/2010,7.4,4,12,0,,,3.6,
1/13/2010,6.5,5,9,0,,,5.8,
1/14/2010,9.9,5,15,0,,,8.2,
1/15/2010,11.2,8,16,0,,299,13.8,
1/16/2010,11.7,8,17,3.8,,283,13.8,
1/17/2010,11.8,8,17,0,,,12.6,
1/18/2010,10.9,8,15,0,,114,8.8,
1/19/2010,11.3,8,15,0,,,8.9,
1/20/2010,12.8,7,19,0,,276,12,
1/21/2010,10.9,9,15,0,,272,15.3,
1/22/2010,8.9,8,13,1.5,,266,22.5,
1/23/2010,7.5,3,12,0,,274,9.1,
1/24/2010,9.1,4,14,0,,177,9.2,
1/25/2010,8.8,8,12,0,,66,14.8,
1/26/2010,4.8,3,9,4.3,,254,19.6,
1/27/2010,0,-3,5,0,,265,26.1,
1/28/2010,1.1,-5,7,0,,,10.6,
1/29/2010,3.9,2,6,,,,10.5,
1/30/2010,7.2,3,12,0,,279,21,
1/31/2010,7.4,4,11,0,,,11.8,
2/1/2010,8.3,3,13,0,,,4.5,
2/2/2010,11.2,6,17,0,,,9.1,
2/3/2010,11.1,6,16,0,,,6.2,
2/4/2010,8.3,8,11,,,,7.4,
2/5/2010,4.2,3,7,2,,281,23.3,
2/6/2010,1.3,-1,5,0,,280,19.9,
2/7/2010,-0.2,-3,5,0,,277,16.4,
2/8/2010,0.6,-4,5,0,,,8.2,
2/9/2010,2.3,-1,5,0,,,4.7,
2/10/2010,4.7,1,9,0,,,8,
2/11/2010,6.3,1,10,0,,,4.8,
2/12/2010,6.9,6,10,,,,7.4,
2/13/2010,7,4,11,0,,,5.6,
2/14/2010,6.3,4,11,0,,,5.9,
2/15/2010,8.1,3,14,0,,,5.6,
2/16/2010,11.2,5,16,0,,,5.2,
2/17/2010,15.2,10,21,0,,,8.1,
2/18/2010,16.4,12,22,0,,,14.2,
2/19/2010,13.6,13,17,0,,,10.7,
2/20/2010,9.7,8,15,7.1,,,10.6,
2/21/2010,10.4,4,16,0,,,7.9,
2/22/2010,11.9,8,19,0,,,10.4,
2/23/2010,10.3,6,14,0,,264,19.3,
2/24/2010,10.7,9,14,0,,258,12,
2/25/2010,10.2,6,14,0,,274,19.1,
2/26/2010,10.5,6,15,0,,,13.6,
2/27/2010,9,6,13,10.7,,,7.4,
2/28/2010,9.6,6,14,1.8,,,9.7,
3/1/2010,10,7,13,0.3,,,10.6,
3/2/2010,10.2,8,14,1.3,,296,15.8,
3/3/2010,10.1,5,15,0,,,,
3/4/2010,6.9,6,11,0.5,,,7.9,
3/5/2010,8.9,2,14,4.1,,,9.1,
3/6/2010,12.8,9,18,0,,,16.7,
3/7/2010,14.7,9,20,0,,296,17.5,
3/8/2010,12.9,9,18,0,,,11.4,
3/9/2010,16.3,10,22,0,,,6.4,
3/10/2010,18.3,14,22,0,,,7.8,
3/11/2010,18.4,14,25,0,,,14.2,
3/12/2010,15.5,11,20,0,,,6.5,
3/13/2010,19.8,14,25,0,,,4.8,
3/14/2010,21.6,16,27,0,,,8,
3/15/2010,22.5,17,29,0,,,7.1,
3/16/2010,23.6,16,29,0,,,8.9,
3/17/2010,20.9,19,25,0,,,10.1,
3/18/2010,22.3,19,26,0,,,8.5,
3/19/2010,14.1,19,20,0,,,20.2,
3/20/2010,8.9,3,13,0,,268,12.9,
3/21/2010,6.1,7,10,0.5,,281,23.7,
3/22/2010,9.1,1,16,0,,,9.2,
3/23/2010,13.1,6,19,,,,6.5,
3/24/2010,11.9,12,15,0,,,8.4,
3/25/2010,13.3,9,19,1.8,,,13,
3/26/2010,13.1,9,17,0,,,10.2,
3/27/2010,9,7,12,0.3,,,11.3,
3/28/2010,10.9,7,14,10.7,,,9.1,
3/29/2010,14.2,9,19,0.5,,,18.4,
3/30/2010,16,10,22,0,,285,13.8,
3/31/2010,15.9,11,20,0,,,10.9,
4/1/2010,13.3,11,17,0,,270,28.3,
4/2/2010,13.7,7,21,0,,279,16.7,
4/3/2010,16.3,10,21,0,,,12.3,
4/4/2010,19.4,13,25,0,,,16.4,
4/5/2010,18.4,17,24,0,,276,14.8,
4/6/2010,17,11,23,0,,268,13.7,
4/7/2010,19.2,16,24,0,,205,10.8,
4/8/2010,18.8,16,25,0,,,9.4,
4/9/2010,15,13,20,6.4,,38,11.8,
4/10/2010,15.9,11,20,23.9,,295,17.9,
4/11/2010,15.7,10,21,0,,278,25.1,
4/12/2010,20.4,13,25,0,,,8,
4/13/2010,19.1,15,24,0,,300,11.7,
4/14/2010,19,14,23,0.8,,285,20.2,
4/15/2010,18.8,13,24,0,,,7.7,
4/16/2010,20.7,15,26,0,,,8.9,
4/17/2010,20.3,16,26,0,,,11.6,
4/18/2010,15.5,13,22,4.3,,,12.4,
4/19/2010,15.1,12,22,0,,,12.7,
4/20/2010,15.6,10,22,0,,272,17.9,
4/21/2010,18.2,10,23,0,,,9.8,
4/22/2010,22.3,15,26,0,,,6.9,
4/23/2010,19.9,18,24,0,,359,16.6,
4/24/2010,17.2,13,24,6.6,,276,18.2,
4/25/2010,16,10,21,0.8,,279,22.3,
4/26/2010,17.3,10,23,0,,262,15.8,
4/27/2010,20.6,15,25,0,,,8.2,
4/28/2010,20.3,16,27,0,,285,14.6,
4/29/2010,16.6,9,22,5.1,,,16.3,
4/30/2010,19.9,13,26,3.3,,,12.9,
5/1/2010,19.2,16,24,0,,,10,
5/2/2010,17.7,15,21,0.5,,,8.5,
5/3/2010,17.8,14,22,3.8,,289,19.5,
5/4/2010,17.4,13,22,0,,285,15.9,
5/5/2010,17.3,12,23,,,275,15.6,
5/6/2010,17.1,10,22,,,257,20.1,
5/7/2010,16.9,13,24,0,,273,20.9,
5/8/2010,19.4,13,25,0,,,15.5,
5/9/2010,21.6,15,27,0,,,13.9,
5/10/2010,21.6,18,28,0,,47,10.2,
5/11/2010,23.2,17,28,0.3,,294,17,
5/12/2010,24.3,20,30,0,,,12.1,
5/13/2010,24.4,20,31,,,218,14.5,
5/14/2010,22.9,17,28,0.5,,283,15,
5/15/2010,22.3,18,27,0,,309,11.8,
5/16/2010,23.3,17,29,0,,,12.4,
5/17/2010,24.2,19,29,0,,,13.7,
5/18/2010,25.8,20,32,0,,277,24.1,
5/19/2010,27.6,0,32,0,,287,22.2,
5/20/2010,27.2,25,31,0,,,11.5,
5/21/2010,25.8,20,30.6,,,,14.6,
5/22/2010,24.7,20,29,0,,283,19.6,
5/23/2010,25.4,19,30,,,,14.4,
5/24/2010,28.7,22,34,0,,280,11.7,
5/25/2010,24.2,19,29,0,,271,35.3,
5/26/2010,24.3,19,30,0,,160,10.3,
5/27/2010,25.7,20,30,0,,,8.8,
5/28/2010,27,21,31.6,0,,,8.2,
5/29/2010,28.2,22,34,0,,,15.5,
5/30/2010,28.5,24,34,0,,,10.9,
5/31/2010,24.7,19,31,0,,280,24.3,
6/1/2010,25.3,19,32.4,0,,259,15,
6/2/2010,26.7,20.8,31.4,0,,149,10.2,
6/3/2010,28.8,22.4,34.4,0,,252,12.1,
6/4/2010,29.6,23.6,35.6,0,,,8.2,
6/5/2010,30.9,25,36.4,0,,195,9.9,
6/6/2010,29.4,24,34,0,,206,12.6,
6/7/2010,28.8,23,33,0,,174,9.6,
6/8/2010,30.5,23,35.4,0,,,9.3,
6/9/2010,29.5,24.8,34.8,0,,275,24.5,
6/10/2010,30.4,23.8,36.2,0,,,8,
6/11/2010,31.5,24,37.4,0,,,6.7,
6/12/2010,31.9,25.2,38,0,,261,11.1,
6/13/2010,32,25.4,37,50,,,7.5,
6/14/2010,30.8,25,36,0,,163,9.1,
6/15/2010,30.1,25,35,0,,,8.2,
6/16/2010,31.4,26,35,,,,11.3,
6/17/2010,31.9,27,37.2,0,,98,16.7,
6/18/2010,30.6,25,36.2,0,,182,12.7,
6/19/2010,30.9,23.2,36,0,,273,12.4,
6/20/2010,31.1,25.6,36.6,0,,,12,
6/21/2010,31.7,26.8,37,,,,12.3,
6/22/2010,29.3,24,36,,,254,15.6,
6/23/2010,29.5,21.8,35.4,0,,177,10.6,
6/24/2010,29.4,22,34.6,70.1,,,9.7,
6/25/2010,28.7,25,33,,,278,24.2,
6/26/2010,28.2,20,34,50,,,9.7,
6/27/2010,30.9,24.6,37,0,,,8.5,
6/28/2010,32.8,25.2,38.6,,,,11,
6/29/2010,33.1,26.8,38.8,0,,99,11.7,
6/30/2010,34.4,28,40.6,0,,77,12.1,
7/1/2010,34.1,27.6,40.6,50,,311,9.6,
7/2/2010,32.8,25.8,40.2,0,,269,10,
7/3/2010,31.7,23.8,39.6,0,,266,13.1,
7/4/2010,32.6,25,39.2,0,,264,10.8,
7/5/2010,34.3,27.8,40,0,,,9.6,
7/6/2010,33.3,27,39.4,0,,,7.6,
7/7/2010,33.9,28,40,,,115,12.2,
7/8/2010,35.2,28.4,40.6,0,,86,10,
7/9/2010,35.4,28,41.4,0,,,8.8,
7/10/2010,36.2,28.8,42.2,,,,9.3,
7/11/2010,35.9,30,42.2,,,,8.4,
7/12/2010,33.6,28,39.2,0,,201,12.9,
7/13/2010,31.7,27,35.6,0,,161,10.9,
7/14/2010,33.4,29,38.4,0,,99,14.1,
7/15/2010,33.2,26.2,38.4,70.1,,,,
7/16/2010,32.8,28,38.6,0,,,18.2,
7/17/2010,30.2,23,37.2,0,,256,11.5,
7/18/2010,31.2,24.6,37.2,0,,260,9.4,
7/19/2010,32.1,25.6,38.2,0,,257,11.5,
7/20/2010,31.3,26,37.6,0,,241,13.2,
7/21/2010,32.2,25,37.8,0,,145,15.4,
7/22/2010,32.4,27.6,37.8,0,,137,13.2,
7/23/2010,32.2,26.8,37.2,0,,,11.4,
7/24/2010,31.3,25,36,0,,143,10.2,
7/25/2010,31.1,25.6,36.4,0,,124,10.5,
7/26/2010,30.7,23,36.6,0,,242,10.2,
7/27/2010,30.1,23.6,35,0,,226,10.6,
7/28/2010,28.8,24.4,34.8,0,,,9.3,
7/29/2010,28.8,23.2,34,0,,,10.2,
7/30/2010,28.6,24,34.4,0,,243,11.5,
7/31/2010,27.3,22,32.8,0,,225,12.7,
8/1/2010,25.9,20.8,31.6,0,,256,13,
8/2/2010,25.9,21.6,30.8,0,,,8.6,
8/3/2010,27.1,21,31.8,0,,,9.3,
8/4/2010,28.2,22,32.8,0,,,7.9,
8/5/2010,28.3,24.6,33.4,0,,,8.9,
8/6/2010,29.9,23.6,35.4,0,,,8.6,
8/7/2010,30.2,24.8,35.4,0,,,9.4,
8/8/2010,29.4,23,36,0,,,8,
8/9/2010,30,24,35,0,,,7.9,
8/10/2010,29.8,24,35.4,0,,,7.9,
8/11/2010,30.5,24,36,0,,,8.6,
8/12/2010,29.7,24.4,35.2,0,,,11.4,
8/13/2010,28.9,24.6,34.4,0,,131,10.5,
8/14/2010,27.8,23,33,0,,,7.9,
8/15/2010,28.6,23.6,33,0,,,9.6,
8/16/2010,29.4,23.6,34.4,0,,,9.5,
8/17/2010,30.9,24.4,36.4,0,,89,9.7,
8/18/2010,31.2,24.6,36.4,0,,,9.7,
8/19/2010,31.8,26.2,37.4,0,,75,9.4,
8/20/2010,33,26.4,39.2,0,,69,9.7,
8/21/2010,33.1,27,39.2,0,,,9.2,
8/22/2010,29.2,23.8,36.6,0,,268,13,
8/23/2010,28.9,21.6,33.6,0,,205,11.7,
8/24/2010,29.5,25.4,34,0,,,10.4,
8/25/2010,28.3,24.4,33,0,,,12.2,
8/26/2010,27.4,23,32.4,0,,,12.3,
8/27/2010,28.1,22.2,33.4,0,,,8.6,
8/28/2010,28.2,21.6,32.4,0,,,9.5,
8/29/2010,28.8,23,33,0,,217,9.1,
